Read ID,Poly(A) end,Adapter end,Leader end,Start end
2a1a8f46-3bab-4f92-b4d4-eb4b6f254f5a,8110,6839,918,473
2ea76244-b01c-416c-832a-a276139fbfec,14536,8533,1062,639
3101eeb5-5425-454f-9f69-7099f677ef11,9847,5277,140,139
2ff26c2f-448a-4c92-9980-ed1c63f579be,10164,5083,712,632
363df2a7-dbb6-47a3-8768-3f6e300b703c,7515,5954,861,322
32b7e6da-67dd-46eb-a08f-b3f9c91e4df8,7637,5176,355,244
2e706567-4342-4abf-a45b-bc08645cf58f,12617,7985,281,280
37d426bb-4355-4a47-aff2-534dbfdb99b4,8284,4204,621,418
30c76e3e-5e5b-47b6-b29a-b95047edb70d,10674,7799,479,478
39679e99-834c-4c8c-9cbe-982c1849eb4f,10878,5644,320,255
30d8148b-ea97-4185-8bfa-ccaa9733a9d9,17498,13815,3,1
376362af-ce99-4f40-a219-01f3f0d8b87b,10877,5220,376,325
37fd1f24-1710-43ea-afc6-7ae122cc24d1,10393,6331,994,737
33162431-7535-4ca5-89cb-e63e30555f69,10607,7613,165,164
3975fb30-0daa-49a7-965c-3a104acefbc5,14437,6176,707,376
3a9fcbf8-0158-4e67-a4b7-c31f610f23ec,7641,4751,2,1
382f4e3f-ddb7-4e62-be06-46b95148dfcc,9,8,7,6
39ce2c80-415d-4840-8469-f35cabe85fd8,15425,6914,319,318
3aa9ea83-6fcc-4370-9a22-57b7f16e593a,7948,5359,526,277
393899bd-3f8c-4035-bcfd-b21a795ed01e,12834,9909,849,692
39fa5110-66bf-434c-97b3-e149d3f778b2,10894,6597,173,62
40678bca-9ce7-4c3f-8dbc-54ccb3c359e2,7196,5765,598,332
3e223158-f785-4ce9-8f5e-29e67938db90,14160,5068,408,332
3fdbc2e8-7947-41e5-8246-aa89dab128a6,8305,5448,752,521
3baa7c9d-015b-42bb-b486-9f2738aa1c66,9787,7049,543,443
3cecbe47-14cf-44b3-b27a-62ae844c20ee,9186,4971,501,315
3e3649a8-8a9b-4dee-8052-c2a8b9c499db,11513,6942,2,1
40681cd9-e7e3-4c91-bcc9-fd3347849636,8768,4077,487,403
3efa9a77-e0c4-40b3-a840-afb9c17d7808,9415,7210,544,367
40aa2657-4475-457d-af9c-cf69e1f7d2a0,10360,6301,562,441
3a744553-6092-4893-bc97-a321fb486729,11707,9130,2,1
45b58f24-04e2-43d2-93e2-be975bfdc984,8029,5739,550,160
438dad5f-010d-412e-ba76-ae8a251bbc0a,5020,4964,303,256
44d6e65e-b6ae-4eb3-b462-03e8066acee1,1618,1568,3,2
40bbf0ee-00bb-4980-942f-c6e3581d6d05,11092,6123,232,202
41e94498-01a8-4800-8dec-013c77b8e181,14842,5167,873,665
45b868c3-9323-44d6-bf89-65949935aed5,9892,4106,364,278
45d359c7-f90e-40bf-ac17-831e325433c2,6937,4695,704,424
46a9410d-d7ca-41e8-a755-250fc2676866,494,493,2,1
4274972e-86e3-4b35-bc6e-ba063cd34cb6,13384,8029,853,576
476e7d22-c0b7-472b-9c23-d380527aa275,11039,5814,386,385
45e64303-80e8-4812-bb45-90da01e25f7b,10325,5438,846,667
4863f3ad-1982-413f-8b72-21cbeb122c34,7826,5116,412,289
4ad60304-62cf-4e8a-884d-50334ae674ae,8267,5931,1061,724
48f350a7-10e8-45a0-ad30-3f9765f60231,6970,5142,2,1
480d1aa6-5869-4c6f-a353-bf4d459fc6ff,13601,5801,543,384
46278b9f-1bda-4c0e-bfaa-10cd323e9d4e,16941,8906,753,449
4c8a2258-86b6-40ea-845e-d04da54219bf,9285,5200,566,354
479c8efd-5c2e-42a1-8f5f-b8bea67f4595,7854,6460,274,273
49328193-8ae0-44bb-8d27-a9419052120f,8222,5967,2,1
4b791cdc-20c1-4dc1-9c68-277189919ad7,14616,14596,712,397
4f7728ff-c14e-447e-8b09-a9b0ed343db5,7059,5800,926,427
4f10d9a8-edfd-46cb-8b51-eb5fce8c2a4e,9515,6031,774,519
4dd1c1d1-ddc0-4f2e-9316-ccc1f978d627,11402,5294,422,331
502cf634-4f5f-45c6-90b1-2f42ddefa46b,8288,4922,433,355
4bdc2640-13b8-4995-b207-0175377a5e62,12493,7121,166,165
4ca8f7a7-06c7-43de-bb53-c490a6474c8d,9895,6450,596,278
504c8941-0bbc-4d68-82c2-a0493bbbaf93,13687,5889,23,22
511cb413-825b-47a9-bf1c-e4cc906a2c5c,14322,6455,772,664
5317d6c7-8d8d-4c92-89a5-b076d4d6679e,14187,4505,664,451
5515fb9d-668f-4e43-8f05-7aac4cac23eb,10035,3923,668,608
56a79dfa-32a1-4ade-8cfa-ce2da986c727,6710,6707,964,443
570b8be5-e2b3-4f2d-8caf-bd24815e5d98,5960,5932,578,240
4f69be2a-a764-4ce3-abef-0faf716ee592,7226,6442,609,608
589b4b4b-6903-4a43-ade9-ad771966f9d5,8099,4779,2,1
55408715-ff2b-4035-8bb1-4b91743828f6,6930,5898,367,366
59211df5-e59d-4a23-b4d8-f2e332b8f6f0,7702,5055,510,365
58a04ceb-2a63-4ae0-be46-1dc33c21c95d,9991,4732,788,519
56cc6d52-c42f-4706-b3d6-0a51fd3c650b,10280,5867,631,448
598c2559-928b-4926-8bc6-8770a9eb9f62,8193,5514,749,552
59e7eb7c-725a-4b57-8776-c43805e9f378,8547,6004,617,376
59ee6316-7df2-4cf9-b4ae-03c6331af78d,9127,5875,151,87
5983348e-e272-4978-abef-e8ac5ba30e06,8298,3547,316,157
5af5eac6-4693-4829-867e-902f0d817e27,7594,5009,550,312
5abe5612-60f3-42a9-bd1e-50c3c7c1046b,10889,5645,600,502
5bd23452-3bb9-4b9a-ab92-fffd67c303d5,11020,5422,211,210
5b8acbd2-7bce-4816-904a-08124187471f,9126,5444,442,441
5d3d2155-fc16-4f70-a643-13c8f5683d0f,17879,17787,11020,6255
5ea4cb7b-27ff-4b2e-88c6-f8705081461b,8164,5842,377,263
5dbe11ec-ea9f-42d6-98a9-f6ae3d51e2e7,8421,7620,3,2
5fe7f2b6-22b9-440b-a56c-1c74ad27e8df,7945,3522,343,269
5df172d2-adbb-49fb-bd28-5f9c3d9257be,8708,6099,413,281
5fed493b-d099-4801-a049-1d804f02ab19,14825,3378,38,37
5e59c5a1-0288-48e3-a012-caa74a57d145,7507,7487,3,2
5ddce265-da06-48b8-9bba-97b658515500,8328,6471,883,738
609dff77-8420-4c03-a6f4-ef4bd9d24fd2,14010,5740,617,406
6281a6f3-6f0d-42fa-86f1-74ccbf8cacbf,7221,7214,775,474
60b924cb-1ed4-4c16-8463-51bc55d7e93f,14708,8422,1069,515
6118eb6e-ff19-4b39-842c-9ca33517f132,9422,5613,602,385
62f1766c-a72b-4743-aacc-e55862ac77ca,7919,4724,390,299
63624b2e-ed80-4f95-9b78-8faf63338dc4,7358,5543,456,455
6346fc5c-b6b2-46ba-84cf-b0ee0deb650d,7525,4954,2,1
6490ce76-0734-4b73-b038-174dbce2c50a,7962,3962,345,204
64c9eb8d-22d2-4cac-8b8e-af60298f57de,10741,5844,448,330
681fe720-2cd2-4f9a-b74d-01cb523bf8c4,7315,4473,315,143
657bda64-8364-465b-9e66-ea5c988cba23,7572,5390,776,425
6902fb14-8f3b-4277-82e0-2c184cb37457,7199,4948,308,152
68b20361-5e51-4d63-8813-4fad6077bf40,10146,5099,399,308
64f961c8-28e8-4a67-8a82-472e96096db7,8873,5931,217,216
62b6ac15-200e-4c0e-af54-0030aaf033ca,13111,12126,1544,334
69b5f6bf-b4ed-4a63-87f3-857d605a41a3,7124,5743,983,687
6b0a43cf-5c29-4b33-b7e5-af86911ab009,10283,4818,461,360
6b955544-76f0-4964-8541-0a03dd88a23c,15018,6059,453,354
6df2d648-db26-4e3d-9b74-381e8ce9cb6e,856,855,2,1
6de04a08-fbe2-4517-9017-9452f2e10f47,8466,5466,889,471
6bc234dc-0678-4366-ab28-9b1a1c5b3bd1,6476,4557,392,301
6cb8c8f7-58a6-49ea-9e87-c5b12af621f5,9567,5190,546,255
6c41aafc-f7bc-4569-9185-d3e6d035f604,12469,8273,488,328
686a3e5a-a0a8-489e-a8c8-0b1ab9603a68,9509,7928,468,373
67d20262-f3b7-4d3f-9a76-3cd873189036,17926,13351,747,547
6f6caf06-83ec-434c-8cbc-c714bbfdefff,8008,5986,2,1
6e3277ca-3dce-4f53-8dd6-fae211376928,8172,6684,585,264
6f9ea686-bbe9-4ce5-a2c1-6591ee8c5fbe,7913,6018,166,165
705ceaac-49f3-4293-9d19-30a8f34edce5,11342,5796,447,230
76ed68c4-2f82-4d28-8ab9-f00a414ffe09,7800,4787,2,1
7201e11c-bbb6-41fc-92d4-a334021e8e21,15247,5790,248,196
764d6da0-52b5-4664-b4be-d1ca56a09996,7631,4034,563,474
71d91fe7-e1cf-4cf1-abe8-fa7a322a9108,12845,11445,448,237
759f564d-9a42-4cd3-aeef-8f8d45610baa,8310,6852,364,308
6e5048ea-7b46-417f-9789-34857a745ca7,10191,8156,2,1
772ffa50-dcfc-4796-96ec-23d8306cc9ca,6523,6510,2,1
7584b81f-c75e-47ba-84fc-3eee6ec4a06c,14382,6802,606,524
77788b24-2461-4113-873c-a04fd7730ca5,8006,5246,244,243
7ab28734-a355-49ba-b12b-af72b0748d40,5330,2982,291,156
7771df21-137e-41f2-9085-fcfcfebc6811,10226,4820,750,576
781ceb54-59c3-43a0-8848-fa762034fb75,7598,5322,2,1
75cb2155-1c77-46fe-9b8c-eb810e850516,11566,6104,566,211
7b4254a4-6033-4618-910e-6ccd14e6561a,7535,4898,408,238
77807470-12a6-4cfc-8590-4f5c861588c2,13630,9223,2,1
76a8332b-b7bf-4be9-82af-955f71cc8c20,12780,9459,2,1
7bfc5578-e2da-44f9-8b2f-aa867e56df73,8359,5009,2,1
7af4c71a-2734-4c39-b59f-cf51f5815dc8,7536,5280,440,228
7aa5d33c-1100-43f2-bab3-ff06949abdcc,7567,5994,487,378
7e135431-959c-43e7-ac7d-ed8be41c5a5b,7242,4686,558,298
7c95215a-5329-46c7-b56d-7c7ccbdbab00,8235,5397,2,1
7f6e83b6-d9a2-4f4a-9e5e-cab71f7a203c,8229,5313,540,430
7ffa6db6-2ecd-4236-b7ad-efd4fb469f53,6726,4936,622,419
7e464a6c-f491-4855-abd5-e304e0a9c593,8610,8608,770,220
7bf56856-69a8-4c12-b6c7-3dd7a3845ca8,8104,5976,758,614
7d9633aa-8747-4a57-9717-708cc8b4cfaa,5263,5184,798,301
80ab8e06-6372-4694-b457-e9fb1077ceaf,16886,13517,636,387
84ade9f9-ed3b-4ece-88e4-511e1c3bee40,8049,5398,2,1
83cfda14-6eb9-46c7-bd12-bd6365b0df20,13845,5294,348,347
8149e30e-ac1a-47a7-b0c2-7cdbf8fe92ae,9276,6330,467,466
83f69e40-5b51-4be6-80f2-28ddddf5fb7f,13804,5688,688,576
811e654b-0f2e-4d52-bf78-e502a0e61576,13224,6083,337,283
85c78e5e-a25e-49be-b6a1-00cc30a8ba23,4556,4554,758,455
858320f0-5a80-496a-bd32-8461a7b3426e,6751,5996,741,328
8513e223-e1b3-49c2-b783-e997b3f093ab,12283,9180,3,2
84d325db-550e-43d0-b5cb-b3b323750cae,8129,6462,695,589
8692f7e8-405e-43bd-8d38-261c86977112,9183,6685,610,294
88883e45-e5f0-46a6-a716-465fc6c052d3,11348,4830,362,292
83341802-38e9-467f-8b41-4dc12f6bc434,32099,19560,2,1
8a59d553-f9bc-4551-ad68-f4b51bff30c9,7996,4956,130,77
87bc73bb-71ee-4155-a421-5b925fe29d11,17630,7785,769,443
8aae9bab-e678-4a7e-a215-29d184b4760c,12334,6291,702,457
89132899-3597-4b5e-9ec6-3beda5c02b57,9113,9057,1082,332
8c713df9-d71e-4c98-996e-09e8437aa9e4,7174,3808,2,1
8bd6452c-ad99-4bdf-ab12-7f4f78db5330,13786,5925,2,1
8bf0493c-742e-42a6-85d0-f02d74322c57,5782,4620,338,269
