Read ID,Poly(A) end,Adapter end,Leader end,Start end
2dac2a1d-9dd4-4a11-b269-fef73e2e9c5e,8822,5045,384,220
2c3314f0-1eb9-4996-b507-a5409babbbf5,10065,5998,627,435
3031625d-9333-4f1e-9ffa-15a5d840f45a,6974,4695,3,2
2e54be45-c164-41db-91e8-5388bbb00591,8343,6206,2,1
27c43a92-f741-4990-95fd-3f8bac8b8aa7,8471,3733,290,203
2f5c78b8-724e-4be3-9ec4-a8ff2a02537c,11161,8151,1151,478
30d22842-0b49-4fad-88a8-c25feea601e9,6695,3372,430,299
2ace6398-2c6f-40ca-8c01-e5c7a393d82f,11851,6583,1144,799
2df2bb73-38c5-4549-b5e0-dc4f66c67213,15066,6476,369,368
303993e8-fa2c-472d-ac79-a6fdb4392152,8190,6168,438,281
335458fd-deae-4bbf-aeb2-34bb1a822801,9382,4732,455,366
32b3e29b-56b4-4611-8212-9e8c2d900705,8190,5687,731,283
34f19be8-eb6a-4f3d-a01e-19e008cd0153,6254,6245,430,80
371da1ab-503c-4d0e-af15-5782d7124f3d,7494,4852,295,197
329401e8-ad38-4aef-802b-71d2ba57a509,8481,6669,1088,660
3830f0c4-9b82-4f89-9775-7f785425705f,8476,5195,474,215
3857eaae-781e-45f5-b0a5-53045f3c8f2d,8504,4588,189,188
33c34401-ff1b-4df8-9d65-d0ce9dea064a,12548,6227,324,168
39814185-55c5-4ca6-888c-59bba64eeafd,6409,6375,2,1
37fd1f24-1710-43ea-afc6-7ae122cc24d1,10393,6331,994,737
387645aa-9606-49bc-b68c-cc2a0f40f5ea,8147,4935,313,154
38b8bd85-c6fb-4052-a120-de1e7b2696c4,6282,4789,395,226
3aa4cfc9-a0b0-4259-a5e4-7685b617b07f,8281,5184,411,271
3a4e476a-40cf-4610-9c61-75460866fd04,7696,4472,746,433
3aa9ea83-6fcc-4370-9a22-57b7f16e593a,7948,5359,526,277
3b0b70f3-12bb-45c2-8c3c-ac534edb1ff3,7808,5314,744,396
39fa9a1f-9b66-450b-844c-458dcdfcc47e,9022,7799,643,431
362f9b35-5486-4428-a007-1fcde3a6d883,14629,8304,387,386
3d6b07f8-3ae1-4386-89f7-3d290dedef4e,4778,3412,2,1
3ccf8732-ef3d-4498-b6e3-4a78caea2dc3,10028,4920,318,218
3cc7451c-c1dc-4e4a-b0fe-f45ab4c17114,7428,4933,395,268
3e152b29-8b38-4ae2-9651-aee0c0547b15,10154,4176,178,126
3de19629-8c4b-4b02-b62e-99e5eb652076,6706,5392,475,309
3ec195e9-b25c-4819-ba7f-a828cdaf0919,10182,6076,2,1
3fdbc2e8-7947-41e5-8246-aa89dab128a6,8305,5448,752,521
3e6bd036-ba17-4ed9-ba94-2c734c3df410,14471,5011,327,326
3e606a7c-afd3-4e6d-8276-b337f5c1ad66,14775,4807,122,121
3df00f7a-0dbf-41e4-a35d-dc9d00a82a67,9309,6124,51,50
4022a1e7-3795-4987-92e2-a8eb8cee4b16,8516,4224,340,237
40077297-7b42-4177-9d43-d16fdbd14a38,10508,6023,793,415
3ea0b133-4823-4cd3-a3e9-57ae54ee8d94,12208,8708,912,813
3eb1fb9b-c42b-4b38-8f25-44f6081cd13d,21038,15920,681,456
4325a084-51ef-44bf-a3ef-f5230649c295,7500,5870,775,557
42b5fae9-90cf-4184-9fdd-ad0993429e1d,10333,6068,524,523
40a0f8b6-0fca-4453-965a-26d0e9778e3c,9905,5862,698,487
3fac110d-19bc-4dfd-a918-3ff84cd6d7c3,18869,13591,4198,2492
42c22f9a-f1d5-4208-a07c-a9e283dc4d26,9204,6290,199,198
4403dd40-3f62-4651-bbd1-ae2b435b2269,6849,4602,436,172
3f6fe3ff-e9a5-48d7-85c8-c7f60038ac50,28867,25091,2,1
418e2598-47d9-4611-ac90-5277157bc4ea,13567,6493,704,603
45d50134-3a65-468b-b7a9-97d8e90a7837,7484,3285,361,360
46135b97-79a2-4cbd-9d60-a4540e06a2b5,8672,5443,2,1
4465875c-28ae-4b06-af8b-2929c78e2bb3,14413,6494,1100,826
476a133b-90d7-43f4-b8cd-8fc1598ee13b,10586,5220,267,266
46020384-57f4-4498-9e7a-03f272643b71,8070,5901,202,201
44c85cf6-481f-4b70-aea6-e4c78f7ed9a3,6499,4981,2,1
47b8a9ea-f0f3-41ca-93c7-49e00850d954,10111,4053,484,345
48906833-9379-4975-9c71-17456f8853bd,7959,5436,607,301
44a03a3f-d7ac-4f66-a9f7-a2bf7f03af36,23643,17321,388,284
437296e4-b9f2-4979-8413-00872967f6e8,8675,4084,458,457
480d1aa6-5869-4c6f-a353-bf4d459fc6ff,13601,5801,543,384
4626a5a0-dcb1-4b2f-b246-4f9c2aedf0d7,9306,6536,525,340
48bdbc95-c8cd-4ec1-96af-8ce6dfc1e7ad,11845,5690,554,211
48534e02-df75-4585-88a1-1f46f4ca3feb,10169,7420,3,2
4adfbd6a-8f22-42a4-88d1-875d5ba618f1,4862,3,2,1
49ad3b62-7dc6-4fba-9a8f-2d2739e16e6f,9230,5975,923,546
4ad60304-62cf-4e8a-884d-50334ae674ae,8267,5931,1061,724
4791d066-cc31-4eaa-a526-bf828282edf2,13579,8817,3,2
49448035-1c82-4e4d-bc96-c80c4f8a41b1,9374,7451,501,394
4b3cfd16-c4b2-4b86-9b30-d7f00b9f24df,10860,4910,709,506
4c2d505a-d1d6-4f06-9d3f-e1c52053f3e0,8253,5334,322,228
4dff872d-d02c-4744-b221-c35e06ea623a,8367,5599,219,218
